service,usage,status,timestamp
Water,9847.4,Partially Operational,2024-11-25 22:49:35
Electricity,6932.9,Operational,2024-11-25 22:49:40
Waste Management,2738.65,Non-Operational,2024-11-25 22:49:45
Waste Management,2898.29,Non-Operational,2024-11-25 22:49:50
Waste Management,8696.68,Non-Operational,2024-11-25 22:49:55
Electricity,5061.75,Non-Operational,2024-11-25 22:50:00
Waste Management,8792.74,Operational,2024-11-25 22:50:05
Electricity,6980.17,Operational,2024-11-25 22:50:10
Electricity,8634.16,Operational,2024-11-25 22:50:15
Electricity,7868.69,Operational,2024-11-25 22:50:20
Water,5421.86,Partially Operational,2024-11-25 22:50:25
Water,8033.64,Non-Operational,2024-11-25 22:50:30
Waste Management,5160.1,Partially Operational,2024-11-25 22:50:35
Water,6596.49,Partially Operational,2024-11-25 22:50:40
Water,5061.24,Non-Operational,2024-11-25 22:50:45
Electricity,204.37,Operational,2024-11-25 22:50:50
Waste Management,5797.65,Operational,2024-11-25 22:50:55
Water,4503.1,Partially Operational,2024-11-25 22:51:00
Water,9577.35,Partially Operational,2024-11-25 22:51:05
Water,6459.35,Partially Operational,2024-11-25 22:51:10
Electricity,3157.39,Non-Operational,2024-11-25 22:51:15
Waste Management,8083.92,Non-Operational,2024-11-25 22:51:20
Water,1884.55,Operational,2024-11-25 22:51:25
Water,9594.56,Non-Operational,2024-11-25 22:51:30
Water,9863.37,Partially Operational,2024-11-25 22:51:35
Water,7625.34,Partially Operational,2024-11-25 22:51:40
Water,6773.36,Operational,2024-11-25 22:51:45
Electricity,6352.15,Operational,2024-11-25 22:51:50
Waste Management,301.53,Non-Operational,2024-11-25 22:51:55
Electricity,1926.46,Partially Operational,2024-11-25 22:52:00
Water,2531.62,Non-Operational,2024-11-25 22:52:05
Water,4804.64,Partially Operational,2024-11-25 22:52:10
Electricity,973.34,Non-Operational,2024-11-25 22:52:15
Water,8320.93,Partially Operational,2024-11-25 22:52:20
Waste Management,2787.89,Operational,2024-11-25 22:52:25
Waste Management,8566.96,Partially Operational,2024-11-25 22:52:30
Electricity,5000.24,Operational,2024-11-25 22:52:35
Waste Management,2127.57,Partially Operational,2024-11-25 22:52:40
Electricity,2298.96,Operational,2024-11-25 22:52:45
Waste Management,5849.9,Partially Operational,2024-11-25 22:52:50
Waste Management,7406.43,Non-Operational,2024-11-25 22:52:55
Water,7431.2,Operational,2024-11-25 22:53:00
Water,7375.29,Partially Operational,2024-11-25 22:53:05
Water,5079.58,Partially Operational,2024-11-25 22:53:10
Electricity,6558.98,Partially Operational,2024-11-25 22:53:15
Waste Management,5194.02,Partially Operational,2024-11-25 22:53:20
Water,8956.8,Non-Operational,2024-11-25 22:53:25
Water,6155.16,Operational,2024-11-25 22:53:30
Waste Management,4693.64,Partially Operational,2024-11-25 22:53:35
Water,6202.44,Partially Operational,2024-11-25 22:53:41
Electricity,7288.74,Non-Operational,2024-11-25 22:53:46
Electricity,6084.27,Partially Operational,2024-11-25 22:53:51
Waste Management,9833.02,Non-Operational,2024-11-25 22:53:56
Water,5479.0,Partially Operational,2024-11-25 22:54:01
Waste Management,3654.58,Operational,2024-11-25 22:54:06
Waste Management,8521.47,Operational,2024-11-25 22:54:11
Water,8296.14,Partially Operational,2024-11-25 22:54:16
Waste Management,6925.51,Non-Operational,2024-11-25 22:54:22
Electricity,7986.45,Non-Operational,2024-11-25 22:54:27
Electricity,1954.32,Partially Operational,2024-11-25 22:54:32
Electricity,5852.39,Partially Operational,2024-11-25 22:54:37
Electricity,7825.54,Non-Operational,2024-11-25 22:54:42
Electricity,3499.35,Partially Operational,2024-11-25 22:54:47
Water,1629.61,Operational,2024-11-25 22:54:52
Electricity,9436.51,Operational,2024-11-25 22:54:57
Water,4363.27,Operational,2024-11-25 22:55:02
Electricity,583.63,Operational,2024-11-25 22:55:07
Waste Management,5779.35,Partially Operational,2024-11-25 22:55:12
Waste Management,7618.5,Operational,2024-11-25 22:55:17
Waste Management,849.03,Partially Operational,2024-11-25 22:55:22
Waste Management,8641.04,Partially Operational,2024-11-25 22:55:27
Waste Management,4194.55,Non-Operational,2024-11-25 22:55:32
Electricity,9455.08,Non-Operational,2024-11-25 22:55:37
Water,6679.69,Operational,2024-11-25 22:55:42
Electricity,5700.76,Non-Operational,2024-11-25 22:55:47
Water,3015.3,Partially Operational,2024-11-25 22:55:52
Electricity,3238.4,Partially Operational,2024-11-25 22:55:57
Electricity,2090.58,Operational,2024-11-25 22:56:02
Waste Management,5818.59,Non-Operational,2024-11-25 22:56:07
Water,5312.89,Non-Operational,2024-11-25 22:56:12
Water,5412.46,Operational,2024-11-25 22:56:17
Electricity,7335.97,Operational,2024-11-25 22:56:22
Water,331.42,Operational,2024-11-25 22:56:27
Waste Management,6455.73,Partially Operational,2024-11-25 22:56:32
Electricity,8512.97,Operational,2024-11-25 22:56:37
Water,8892.05,Partially Operational,2024-11-25 22:56:42
Water,579.87,Non-Operational,2024-11-25 22:56:47
Water,9258.88,Partially Operational,2024-11-25 22:56:52
Waste Management,7793.85,Non-Operational,2024-11-25 22:56:57
Electricity,8610.46,Operational,2024-11-25 22:57:02
Water,544.92,Partially Operational,2024-11-25 22:57:07
Electricity,2989.4,Operational,2024-11-25 22:57:12
Water,2805.21,Operational,2024-11-25 22:57:17
Electricity,4619.38,Operational,2024-11-25 22:57:22
Waste Management,5956.81,Non-Operational,2024-11-25 22:57:27
Water,8844.03,Non-Operational,2024-11-25 22:57:32
Water,7665.66,Operational,2024-11-25 22:57:37
Electricity,6389.04,Partially Operational,2024-11-25 22:57:42
Water,8993.72,Operational,2024-11-25 22:57:47
Water,1011.41,Partially Operational,2024-11-25 22:57:52
Waste Management,2983.6,Non-Operational,2024-11-25 22:57:57
Water,4604.61,Operational,2024-11-25 22:58:02
Water,7100.14,Non-Operational,2024-11-25 22:58:07
Electricity,976.94,Operational,2024-11-25 22:58:12
Waste Management,1395.61,Operational,2024-11-25 22:58:17
Water,6200.3,Operational,2024-11-25 22:58:22
Electricity,6444.4,Operational,2024-11-25 22:58:27
Water,6540.83,Operational,2024-11-25 22:58:32
Waste Management,3670.08,Operational,2024-11-25 22:58:37
Electricity,6958.86,Non-Operational,2024-11-25 22:58:42
Waste Management,5844.33,Non-Operational,2024-11-25 22:58:47
Waste Management,2723.97,Non-Operational,2024-11-25 22:58:52
Water,484.5,Partially Operational,2024-11-25 22:58:57
Waste Management,4880.73,Partially Operational,2024-11-25 22:59:02
Water,4675.5,Partially Operational,2024-11-25 22:59:07
Electricity,3955.63,Non-Operational,2024-11-25 22:59:12
Water,4539.43,Partially Operational,2024-11-25 22:59:17
Water,428.13,Non-Operational,2024-11-25 22:59:22
Water,4335.58,Non-Operational,2024-11-25 22:59:27
Electricity,9059.82,Partially Operational,2024-11-25 22:59:32
Water,7440.39,Non-Operational,2024-11-25 22:59:37
Electricity,7979.66,Operational,2024-11-25 22:59:42
Electricity,9514.72,Operational,2024-11-25 22:59:47
Electricity,6726.86,Partially Operational,2024-11-25 22:59:52
Electricity,3118.87,Operational,2024-11-25 22:59:57
Water,6938.95,Operational,2024-11-25 23:00:02
Water,2987.61,Operational,2024-11-25 23:00:07
Electricity,1544.37,Non-Operational,2024-11-25 23:00:12
Electricity,5075.53,Operational,2024-11-25 23:00:17
Waste Management,5116.62,Operational,2024-11-25 23:00:22
Waste Management,3743.63,Operational,2024-11-25 23:00:27
Water,7882.75,Operational,2024-11-25 23:00:32
Electricity,3741.74,Non-Operational,2024-11-25 23:00:37
Waste Management,5630.59,Non-Operational,2024-11-25 23:00:42
Electricity,199.91,Non-Operational,2024-11-25 23:00:47
Electricity,9551.38,Partially Operational,2024-11-25 23:00:52
Water,8456.26,Partially Operational,2024-11-25 23:00:57
Waste Management,6923.66,Non-Operational,2024-11-25 23:01:02
Electricity,9115.04,Partially Operational,2024-11-25 23:01:07
Waste Management,6345.1,Operational,2024-11-25 23:01:12
Electricity,7251.07,Non-Operational,2024-11-25 23:01:17
Water,755.85,Partially Operational,2024-11-25 23:01:22
Electricity,2067.96,Partially Operational,2024-11-25 23:01:28
Water,3662.71,Operational,2024-11-25 23:01:33
Water,5033.65,Operational,2024-11-25 23:01:38
Waste Management,4969.05,Partially Operational,2024-11-25 23:01:43
Electricity,1757.11,Operational,2024-11-25 23:01:48
Electricity,5887.64,Operational,2024-11-25 23:01:53
Waste Management,6552.31,Operational,2024-11-25 23:01:58
Water,1292.97,Non-Operational,2024-11-25 23:02:03
Waste Management,2633.02,Partially Operational,2024-11-25 23:02:08
Waste Management,7161.75,Non-Operational,2024-11-25 23:02:13
Water,3049.57,Non-Operational,2024-11-25 23:02:18
Electricity,234.37,Non-Operational,2024-11-25 23:02:23
Electricity,8446.51,Partially Operational,2024-11-25 23:02:28
Electricity,3953.31,Partially Operational,2024-11-25 23:02:33
Waste Management,2827.44,Partially Operational,2024-11-25 23:02:38
Electricity,5371.53,Partially Operational,2024-11-25 23:02:43
Electricity,5154.53,Partially Operational,2024-11-25 23:02:48
Water,7957.34,Non-Operational,2024-11-25 23:02:53
Electricity,1133.68,Non-Operational,2024-11-25 23:02:58
Electricity,7353.63,Operational,2024-11-25 23:03:03
Electricity,2270.31,Operational,2024-11-25 23:03:08
Electricity,4872.09,Non-Operational,2024-11-25 23:03:13
Water,8793.18,Partially Operational,2024-11-25 23:03:18
Waste Management,9799.43,Partially Operational,2024-11-25 23:03:23
Water,6829.2,Non-Operational,2024-11-25 23:03:28
Waste Management,3459.95,Operational,2024-11-25 23:03:33
Waste Management,6843.85,Non-Operational,2024-11-25 23:03:38
Waste Management,5047.67,Non-Operational,2024-11-25 23:03:43
Electricity,160.24,Non-Operational,2024-11-25 23:03:48
Electricity,6364.05,Non-Operational,2024-11-25 23:03:53
Water,8512.13,Operational,2024-11-25 23:03:59
Electricity,8002.04,Non-Operational,2024-11-25 23:04:04
Waste Management,2323.6,Operational,2024-11-25 23:04:10
Waste Management,1147.96,Non-Operational,2024-11-25 23:04:15
Water,4524.21,Operational,2024-11-25 23:04:20
Water,3684.57,Operational,2024-11-25 23:04:25
Water,9458.99,Partially Operational,2024-11-25 23:04:30
Waste Management,8746.75,Operational,2024-11-25 23:04:35
Water,4593.26,Operational,2024-11-25 23:04:41
Waste Management,1711.23,Partially Operational,2024-11-25 23:04:46
Water,7436.54,Partially Operational,2024-11-25 23:04:51
Waste Management,2037.02,Partially Operational,2024-11-25 23:04:56
Waste Management,7035.4,Partially Operational,2024-11-25 23:05:02
Electricity,1425.47,Operational,2024-11-25 23:05:07
Waste Management,3302.7,Operational,2024-11-25 23:05:12
Waste Management,7856.26,Operational,2024-11-25 23:05:17
Waste Management,8101.05,Operational,2024-11-25 23:05:22
Electricity,3711.7,Non-Operational,2024-11-25 23:05:27
Electricity,7604.06,Operational,2024-11-25 23:05:32
Waste Management,8612.67,Partially Operational,2024-11-25 23:05:37
Water,268.33,Non-Operational,2024-11-25 23:05:42
Water,3443.39,Partially Operational,2024-11-25 23:05:47
Water,8553.75,Partially Operational,2024-11-25 23:05:52
Waste Management,6299.3,Partially Operational,2024-11-25 23:05:57
Waste Management,5422.22,Non-Operational,2024-11-25 23:06:02
Waste Management,8721.32,Operational,2024-11-25 23:06:07
Waste Management,2517.4,Partially Operational,2024-11-25 23:06:12
Electricity,3008.66,Operational,2024-11-25 23:06:17
Waste Management,4600.35,Operational,2024-11-25 23:06:22
Electricity,412.14,Operational,2024-11-25 23:06:27
Water,937.08,Non-Operational,2024-11-25 23:06:32
Electricity,2513.87,Partially Operational,2024-11-25 23:06:37
Water,9254.9,Partially Operational,2024-11-25 23:06:42
Waste Management,5509.8,Non-Operational,2024-11-25 23:06:47
Waste Management,7861.62,Non-Operational,2024-11-25 23:06:52
Waste Management,8783.5,Non-Operational,2024-11-25 23:06:57
Waste Management,4037.08,Partially Operational,2024-11-25 23:07:02
Water,1273.69,Operational,2024-11-25 23:07:07
Water,1418.17,Non-Operational,2024-11-25 23:07:12
Electricity,7261.95,Partially Operational,2024-11-25 23:07:17
Waste Management,7005.28,Operational,2024-11-25 23:07:22
Electricity,8916.17,Non-Operational,2024-11-25 23:07:27
Electricity,2619.75,Non-Operational,2024-11-25 23:07:32
Waste Management,7225.88,Operational,2024-11-25 23:07:37
Waste Management,3861.68,Partially Operational,2024-11-25 23:07:42
Electricity,1468.63,Operational,2024-11-25 23:07:47
Electricity,4187.87,Non-Operational,2024-11-25 23:07:52
Water,428.61,Operational,2024-11-25 23:07:57
Waste Management,6468.12,Partially Operational,2024-11-25 23:08:02
Electricity,538.2,Operational,2024-11-25 23:08:07
Electricity,4842.07,Partially Operational,2024-11-25 23:08:12
Waste Management,4134.08,Partially Operational,2024-11-25 23:08:17
Waste Management,376.25,Non-Operational,2024-11-25 23:08:22
Electricity,7152.02,Partially Operational,2024-11-25 23:08:27
Electricity,8087.67,Non-Operational,2024-11-25 23:08:32
Waste Management,2587.19,Partially Operational,2024-11-25 23:08:37
Waste Management,908.83,Partially Operational,2024-11-25 23:08:42
Waste Management,2485.95,Partially Operational,2024-11-25 23:08:47
Waste Management,6641.37,Partially Operational,2024-11-25 23:08:52
Electricity,2101.54,Operational,2024-11-25 23:08:57
Waste Management,4771.24,Partially Operational,2024-11-25 23:09:02
Water,7405.24,Non-Operational,2024-11-25 23:09:07
Water,2907.93,Partially Operational,2024-11-25 23:09:12
Waste Management,1568.31,Non-Operational,2024-11-25 23:09:17
Waste Management,459.79,Non-Operational,2024-11-25 23:09:22
Electricity,5621.1,Non-Operational,2024-11-25 23:09:27
Water,6256.72,Operational,2024-11-25 23:09:32
Waste Management,3724.63,Operational,2024-11-25 23:09:37
Electricity,1641.68,Non-Operational,2024-11-25 23:09:42
Waste Management,4063.78,Non-Operational,2024-11-25 23:09:47
Electricity,9452.12,Non-Operational,2024-11-25 23:09:52
Water,2544.97,Non-Operational,2024-11-25 23:09:57
Electricity,1495.78,Partially Operational,2024-11-25 23:10:02
Waste Management,6274.72,Partially Operational,2024-11-25 23:10:07
Electricity,5800.77,Operational,2024-11-25 23:10:12
Waste Management,7042.59,Operational,2024-11-25 23:10:17
Waste Management,1480.8,Operational,2024-11-25 23:10:22
Waste Management,6260.47,Operational,2024-11-25 23:10:27
Water,3599.75,Operational,2024-11-25 23:10:32
Electricity,3873.26,Operational,2024-11-25 23:10:37
Water,4988.61,Non-Operational,2024-11-25 23:10:42
Waste Management,3346.07,Non-Operational,2024-11-25 23:10:47
Waste Management,5925.05,Operational,2024-11-25 23:10:52
Electricity,7981.49,Operational,2024-11-25 23:10:57
Water,4867.99,Operational,2024-11-25 23:11:02
Water,8597.22,Operational,2024-11-25 23:11:07
Waste Management,997.86,Operational,2024-11-25 23:11:12
Waste Management,7461.98,Non-Operational,2024-11-25 23:11:17
Water,6938.99,Partially Operational,2024-11-25 23:11:22
Waste Management,286.5,Non-Operational,2024-11-25 23:11:27
Waste Management,2003.88,Partially Operational,2024-11-25 23:11:32
Waste Management,7759.26,Operational,2024-11-25 23:11:37
Electricity,2310.62,Partially Operational,2024-11-25 23:11:43
Waste Management,462.66,Non-Operational,2024-11-25 23:11:48
Waste Management,8768.44,Operational,2024-11-25 23:11:53
Water,9206.54,Operational,2024-11-25 23:11:58
Water,6967.79,Partially Operational,2024-11-25 23:12:03
Electricity,9487.8,Partially Operational,2024-11-25 23:12:08
Waste Management,4687.43,Non-Operational,2024-11-25 23:12:13
Waste Management,4409.84,Operational,2024-11-25 23:12:18
Waste Management,4423.39,Partially Operational,2024-11-25 23:12:23
Waste Management,6236.41,Operational,2024-11-25 23:12:28
Waste Management,6519.12,Non-Operational,2024-11-25 23:12:33
Waste Management,707.64,Non-Operational,2024-11-25 23:12:38
Electricity,4278.04,Non-Operational,2024-11-25 23:12:43
Waste Management,8416.75,Partially Operational,2024-11-25 23:12:48
Water,1107.97,Non-Operational,2024-11-25 23:12:53
Waste Management,8523.95,Partially Operational,2024-11-25 23:12:58
Waste Management,6262.5,Partially Operational,2024-11-25 23:13:03
Waste Management,4308.41,Operational,2024-11-25 23:13:08
Water,9573.4,Partially Operational,2024-11-25 23:13:13
Waste Management,9056.81,Partially Operational,2024-11-25 23:13:18
Water,4860.1,Operational,2024-11-25 23:13:23
Waste Management,2872.88,Partially Operational,2024-11-25 23:13:28
Waste Management,9220.25,Partially Operational,2024-11-25 23:13:33
Water,9337.85,Partially Operational,2024-11-25 23:13:38
Electricity,8158.91,Operational,2024-11-25 23:13:43
Electricity,263.27,Non-Operational,2024-11-25 23:13:48
Water,1453.72,Non-Operational,2024-11-25 23:13:53
Water,138.39,Operational,2024-11-25 23:13:58
Waste Management,2759.0,Operational,2024-11-25 23:14:03
Electricity,2923.43,Non-Operational,2024-11-25 23:14:08
Water,8353.5,Partially Operational,2024-11-25 23:14:13
Water,8830.38,Partially Operational,2024-11-25 23:14:18
Water,7462.33,Operational,2024-11-25 23:14:23
Waste Management,1702.94,Partially Operational,2024-11-25 23:14:28
Waste Management,5181.39,Partially Operational,2024-11-25 23:14:33
Electricity,7936.72,Partially Operational,2024-11-25 23:14:38
Water,5651.48,Partially Operational,2024-11-25 23:14:43
Electricity,7044.57,Non-Operational,2024-11-25 23:14:48
Waste Management,2088.92,Non-Operational,2024-11-25 23:14:53
Waste Management,4133.97,Partially Operational,2024-11-25 23:14:58
Waste Management,509.8,Partially Operational,2024-11-25 23:15:03
Waste Management,2719.8,Partially Operational,2024-11-25 23:15:08
Electricity,6371.89,Non-Operational,2024-11-25 23:15:13
Waste Management,2755.7,Operational,2024-11-25 23:15:18
Electricity,2228.08,Operational,2024-11-25 23:15:23
Waste Management,9512.91,Operational,2024-11-25 23:15:28
Waste Management,6885.47,Operational,2024-11-25 23:15:33
Water,2568.85,Operational,2024-11-25 23:15:38
Electricity,6894.96,Operational,2024-11-25 23:15:43
Waste Management,7188.42,Non-Operational,2024-11-25 23:15:48
Water,6871.31,Operational,2024-11-25 23:15:53
Electricity,4137.68,Partially Operational,2024-11-25 23:15:58
Electricity,5528.57,Non-Operational,2024-11-25 23:16:03
Water,6550.42,Partially Operational,2024-11-25 23:16:08
Waste Management,4552.06,Non-Operational,2024-11-25 23:16:14
Waste Management,6709.89,Non-Operational,2024-11-25 23:16:19
Waste Management,9769.97,Non-Operational,2024-11-25 23:16:24
Waste Management,1645.68,Non-Operational,2024-11-25 23:16:29
Electricity,5729.4,Partially Operational,2024-11-25 23:16:34
Electricity,3445.66,Operational,2024-11-25 23:16:39
Water,1292.05,Partially Operational,2024-11-25 23:16:44
Electricity,7990.49,Partially Operational,2024-11-25 23:16:49
Electricity,4598.91,Partially Operational,2024-11-25 23:16:54
Waste Management,8372.91,Partially Operational,2024-11-25 23:16:59
Waste Management,8674.45,Operational,2024-11-25 23:17:04
Electricity,6803.48,Non-Operational,2024-11-25 23:17:09
Waste Management,3845.63,Operational,2024-11-25 23:17:14
Waste Management,4539.3,Operational,2024-11-25 23:17:19
Water,3196.55,Non-Operational,2024-11-25 23:17:24
Waste Management,7977.21,Partially Operational,2024-11-25 23:17:29
Waste Management,3770.44,Non-Operational,2024-11-25 23:17:34
Waste Management,3423.94,Operational,2024-11-25 23:17:39
Waste Management,8654.39,Partially Operational,2024-11-25 23:17:44
Waste Management,6907.13,Partially Operational,2024-11-25 23:17:49
Waste Management,4863.28,Non-Operational,2024-11-25 23:17:54
Electricity,4159.38,Partially Operational,2024-11-25 23:17:59
Water,8459.52,Non-Operational,2024-11-25 23:18:04
Waste Management,9250.59,Operational,2024-11-25 23:18:09
Waste Management,9565.08,Operational,2024-11-25 23:18:14
Electricity,9162.12,Non-Operational,2024-11-25 23:18:19
Electricity,7601.02,Non-Operational,2024-11-25 23:18:24
Electricity,7929.5,Operational,2024-11-25 23:18:29
Electricity,1477.98,Partially Operational,2024-11-25 23:18:34
Electricity,8278.03,Non-Operational,2024-11-25 23:18:39
Waste Management,4455.79,Operational,2024-11-25 23:18:44
Water,2958.53,Partially Operational,2024-11-25 23:18:49
Electricity,3209.18,Partially Operational,2024-11-25 23:18:54
Water,1921.45,Non-Operational,2024-11-25 23:18:59
Waste Management,263.26,Partially Operational,2024-11-25 23:19:04
Waste Management,9355.84,Operational,2024-11-25 23:19:09
Waste Management,1641.43,Operational,2024-11-25 23:19:14
Electricity,9996.9,Operational,2024-11-25 23:19:19
Water,5333.53,Non-Operational,2024-11-25 23:19:24
Waste Management,1087.97,Non-Operational,2024-11-25 23:19:29
Waste Management,2313.67,Non-Operational,2024-11-25 23:19:34
Waste Management,3804.72,Operational,2024-11-25 23:19:39
Waste Management,259.83,Partially Operational,2024-11-25 23:19:44
Electricity,1554.55,Operational,2024-11-25 23:19:49
Water,7233.06,Partially Operational,2024-11-25 23:19:55
Waste Management,1815.98,Operational,2024-11-25 23:20:00
Waste Management,8120.36,Operational,2024-11-25 23:20:05
Electricity,1330.58,Non-Operational,2024-11-25 23:20:10
Electricity,3766.7,Operational,2024-11-25 23:20:15
Waste Management,8417.87,Partially Operational,2024-11-25 23:20:20
Electricity,8242.14,Operational,2024-11-25 23:20:25
Waste Management,5853.64,Operational,2024-11-25 23:20:30
Waste Management,203.25,Operational,2024-11-25 23:20:35
Waste Management,204.23,Non-Operational,2024-11-25 23:20:40
Water,5706.57,Partially Operational,2024-11-25 23:20:45
Waste Management,8372.0,Non-Operational,2024-11-25 23:20:50
Waste Management,4876.4,Partially Operational,2024-11-25 23:20:55
Electricity,3083.14,Operational,2024-11-25 23:21:00
Water,2622.48,Operational,2024-11-25 23:21:05
Water,8333.16,Non-Operational,2024-11-25 23:21:10
Electricity,5470.18,Operational,2024-11-25 23:21:15
Electricity,2137.33,Partially Operational,2024-11-25 23:21:20
Electricity,4774.69,Partially Operational,2024-11-25 23:21:25
Electricity,9421.93,Partially Operational,2024-11-25 23:21:30
Water,2984.08,Non-Operational,2024-11-25 23:21:35
Water,5352.46,Operational,2024-11-25 23:21:40
Electricity,344.52,Non-Operational,2024-11-25 23:21:45
Waste Management,1054.88,Non-Operational,2024-11-25 23:21:50
Water,2441.67,Operational,2024-11-25 23:21:55
Waste Management,5255.87,Non-Operational,2024-11-25 23:22:00
Water,4039.85,Non-Operational,2024-11-25 23:22:05
Electricity,4011.62,Operational,2024-11-25 23:22:10
Electricity,4772.84,Operational,2024-11-25 23:22:15
Water,8452.54,Partially Operational,2024-11-25 23:22:20
Waste Management,9208.94,Partially Operational,2024-11-25 23:22:25
Electricity,9096.65,Partially Operational,2024-11-25 23:22:30
Waste Management,3879.6,Operational,2024-11-25 23:22:36
Water,5217.34,Partially Operational,2024-11-25 23:22:41
Electricity,6285.32,Non-Operational,2024-11-25 23:22:46
Waste Management,1178.06,Non-Operational,2024-11-25 23:22:51
Water,5018.85,Non-Operational,2024-11-25 23:22:56
Electricity,6259.13,Non-Operational,2024-11-25 23:23:01
Electricity,3806.28,Partially Operational,2024-11-25 23:23:06
Water,9729.29,Operational,2024-11-25 23:23:11
Electricity,5347.04,Non-Operational,2024-11-25 23:23:16
Water,7564.53,Partially Operational,2024-11-25 23:23:21
Waste Management,8438.07,Non-Operational,2024-11-25 23:23:26
Waste Management,378.53,Operational,2024-11-25 23:23:31
Water,2210.1,Operational,2024-11-25 23:23:36
Electricity,6612.12,Partially Operational,2024-11-25 23:23:41
Waste Management,7738.72,Non-Operational,2024-11-25 23:23:46
Electricity,3650.54,Non-Operational,2024-11-25 23:23:51
Waste Management,4941.91,Operational,2024-11-25 23:23:56
Waste Management,6953.93,Non-Operational,2024-11-25 23:24:01
Electricity,5420.18,Non-Operational,2024-11-25 23:24:06
Water,7275.17,Non-Operational,2024-11-25 23:24:11
Water,6762.66,Non-Operational,2024-11-25 23:24:16
Water,9156.94,Non-Operational,2024-11-25 23:24:21
Waste Management,2986.07,Partially Operational,2024-11-25 23:24:26
Water,9733.5,Partially Operational,2024-11-25 23:24:31
Water,3434.59,Operational,2024-11-25 23:24:36
Water,4025.08,Operational,2024-11-25 23:24:41
Water,6061.23,Non-Operational,2024-11-25 23:24:46
Electricity,157.08,Partially Operational,2024-11-25 23:24:51
Water,1685.44,Non-Operational,2024-11-25 23:24:56
Electricity,6192.74,Operational,2024-11-25 23:25:01
Waste Management,6084.77,Operational,2024-11-25 23:25:06
Waste Management,4532.22,Non-Operational,2024-11-25 23:25:11
Electricity,3422.67,Partially Operational,2024-11-25 23:25:16
Electricity,8250.49,Non-Operational,2024-11-25 23:25:21
Water,6281.64,Operational,2024-11-25 23:25:26
Water,9367.8,Partially Operational,2024-11-25 23:25:31
Water,4086.89,Partially Operational,2024-11-25 23:25:36
Electricity,2056.87,Non-Operational,2024-11-25 23:25:41
Electricity,7707.44,Partially Operational,2024-11-25 23:25:46
Water,3227.75,Operational,2024-11-25 23:25:51
Waste Management,1968.81,Partially Operational,2024-11-25 23:25:56
Waste Management,2958.1,Operational,2024-11-25 23:26:01
Electricity,3367.19,Operational,2024-11-25 23:26:06
Water,4840.43,Operational,2024-11-25 23:26:12
Electricity,1484.02,Non-Operational,2024-11-25 23:26:17
Electricity,1587.01,Partially Operational,2024-11-25 23:26:22
Waste Management,3251.21,Partially Operational,2024-11-25 23:26:27
Waste Management,2984.02,Partially Operational,2024-11-25 23:26:32
Water,5406.44,Non-Operational,2024-11-25 23:26:37
Waste Management,1979.29,Partially Operational,2024-11-25 23:26:42
Electricity,3575.81,Partially Operational,2024-11-25 23:26:47
Water,2018.77,Non-Operational,2024-11-25 23:26:52
Electricity,598.5,Partially Operational,2024-11-25 23:26:57
Electricity,7712.79,Operational,2024-11-25 23:27:02
Electricity,9892.55,Partially Operational,2024-11-25 23:27:07
Water,9331.52,Non-Operational,2024-11-25 23:27:12
Electricity,3739.46,Non-Operational,2024-11-25 23:27:17
Electricity,5303.88,Non-Operational,2024-11-25 23:27:22
Waste Management,8856.77,Operational,2024-11-25 23:27:27
Water,8710.7,Non-Operational,2024-11-25 23:27:32
Electricity,3892.85,Non-Operational,2024-11-25 23:27:37
Waste Management,4781.08,Operational,2024-11-25 23:27:42
Waste Management,1475.42,Operational,2024-11-25 23:27:47
Waste Management,5483.68,Partially Operational,2024-11-25 23:27:52
Water,8074.1,Partially Operational,2024-11-25 23:27:57
Waste Management,7651.16,Operational,2024-11-25 23:28:02
Electricity,2768.34,Partially Operational,2024-11-25 23:28:07
Water,3603.01,Non-Operational,2024-11-25 23:28:12
Electricity,9559.74,Partially Operational,2024-11-25 23:28:17
Electricity,468.29,Operational,2024-11-25 23:28:22
Waste Management,940.45,Partially Operational,2024-11-25 23:28:27
Electricity,1605.76,Non-Operational,2024-11-25 23:28:32
Waste Management,3980.86,Non-Operational,2024-11-25 23:28:37
Electricity,5779.4,Operational,2024-11-25 23:28:42
Waste Management,6961.72,Partially Operational,2024-11-25 23:28:47
Electricity,9791.13,Non-Operational,2024-11-25 23:28:52
Electricity,5831.52,Non-Operational,2024-11-25 23:28:57
Electricity,7208.48,Non-Operational,2024-11-25 23:29:03
Water,761.87,Non-Operational,2024-11-25 23:29:08
Waste Management,8483.97,Non-Operational,2024-11-25 23:29:13
Water,1648.92,Partially Operational,2024-11-25 23:29:18
Electricity,3472.79,Non-Operational,2024-11-25 23:29:23
Electricity,9713.06,Non-Operational,2024-11-25 23:29:28
Electricity,6023.36,Partially Operational,2024-11-25 23:29:33
Water,8175.2,Partially Operational,2024-11-25 23:29:38
Water,264.29,Operational,2024-11-25 23:29:43
Waste Management,1156.4,Non-Operational,2024-11-25 23:29:48
Electricity,266.29,Operational,2024-11-25 23:29:53
Water,3295.39,Partially Operational,2024-11-25 23:29:58
Water,2742.06,Partially Operational,2024-11-25 23:30:03
Electricity,6320.35,Partially Operational,2024-11-25 23:30:08
Electricity,6558.88,Non-Operational,2024-11-25 23:30:13
Electricity,7694.09,Operational,2024-11-25 23:30:18
